,id,ICD10_CODE,Freq,VALIDITY_x,SHORT_DESCRIPTION_x,LONG_DESCRIPTION_x,FULL_DESCRIPTION_x,STATUS_x,CODE_TYPE_x
25,26,A31.0,3,C,PULMONARY MYCOBACTERIAL INFECTION,PULMONARY MYCOBACTERIAL INFECTION,Pulmonary mycobacterial infection,,1
26,27,A35,2,C,OTHER TETANUS,OTHER TETANUS,Other tetanus,,1
27,28,A41.51,1,C,SEPSIS D/O ESCHERICHIA COLI E COLI,SEPSIS DUE TO ESCHERICHIA COLI E. COLI,Sepsis due to Escherichia coli [E. coli],,1
28,29,A41.9,7,C,SEPSIS UNSPECIFIED ORGANISM,SEPSIS UNSPECIFIED ORGANISM,"Sepsis, unspecified organism",,1
29,30,A42.9,1,C,ACTINOMYCOSIS UNSPECIFIED,ACTINOMYCOSIS UNSPECIFIED,"Actinomycosis, unspecified",,1
30,31,A49.01,1,C,METHICILLIN SUSCEPTIBLE STAPH INF,METHICILLIN SUSCEPTIBLE STAPH INFECTION UNS SITE,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",,1
31,32,A49.02,1,C,METHICILLIN RESIST STAPH INFECTION,METHICILLIN RSIST STAPH INFECTION UNS SITE,"Methicillin resistant Staphylococcus aureus infection, unspecified site",,1
32,33,A49.3,1,C,MYCOPLASMA INFECTION UNSPECIFIED,MYCOPLASMA INFECTION UNSPECIFIED,"Mycoplasma infection, unspecified site",,1
33,34,A49.8,1,C,OTH BACTERIAL INFECTIONS UNS SITE,OTHER BACTERIAL INFECTIONS OF UNSPECIFIED SITE,Other bacterial infections of unspecified site,,1
34,35,A49.9,17,C,BACTERIAL INFECTION UNSPECIFIED,BACTERIAL INFECTION UNSPECIFIED,"Bacterial infection, unspecified",,1
35,36,A52.16,2,C,CHARCOTS ARTHROPATHY TABETIC,CHARCOTS ARTHROPATHY TABETIC,Charcot's arthropathy (tabetic),,1
36,37,A52.3,1,C,NEUROSYPHILIS UNSPECIFIED,NEUROSYPHILIS UNSPECIFIED,"Neurosyphilis, unspecified",,1
37,38,A52.8,21,C,LATE SYPHILIS LATENT,LATE SYPHILIS LATENT,"Late syphilis, latent",,1
38,39,A53.0,2,C,LATENT SYPHILIS UNS AS EARLY/LATE,LATENT SYPHILIS UNSPECIFIED AS EARLY OR LATE,"Latent syphilis, unspecified as early or late",,1
39,40,A53.9,6,C,SYPHILIS UNSPECIFIED,SYPHILIS UNSPECIFIED,"Syphilis, unspecified",,1
40,41,A59.9,1,C,TRICHOMONIASIS UNSPECIFIED,TRICHOMONIASIS UNSPECIFIED,"Trichomoniasis, unspecified",,1
41,42,A60.00,11,C,HERPESVIRAL INF UROGENITAL SYS UNS,HERPESVIRAL INFECTION OF UROGENITAL SYSTEM UNS,"Herpesviral infection of urogenital system, unspecified",,1
42,43,A60.04,1,C,HERPESVIRAL VULVOVAGINITIS,HERPESVIRAL VULVOVAGINITIS,Herpesviral vulvovaginitis,,1
43,44,A60.09,1,C,HERPESVIRAL INF OTH UROGENITL TRACT,HERPESVIRAL INFECTION OF OTHER UROGENITAL TRACT,Herpesviral infection of other urogenital tract,,1
44,45,A60.9,1,C,ANOGENITAL HERPESVIRAL INFECT UNS,ANOGENITAL HERPESVIRAL INFECTION UNSPECIFIED,"Anogenital herpesviral infection, unspecified",,1
45,46,A63.0,4,C,ANOGENITAL VENEREAL WARTS,ANOGENITAL VENEREAL WARTS,Anogenital (venereal) warts,,1
46,47,A64,1,C,UNSPECIFIED SEXUALLY TRANSMITTED DZ,UNSPECIFIED SEXUALLY TRANSMITTED DISEASE,Unspecified sexually transmitted disease,,1
47,48,A69.22,3,C,OTH NEUROLOGIC DISORDERS IN LYME DZ,OTHER NEUROLOGIC DISORDERS IN LYME DISEASE,Other neurologic disorders in Lyme disease,,1
48,49,A74.9,2,C,CHLAMYDIAL INFECTION UNSPECIFIED,CHLAMYDIAL INFECTION UNSPECIFIED,"Chlamydial infection, unspecified",,1
49,50,A92.31,12,C,WEST NILE VIRUS INF W/ENCEPHALITIS,WEST NILE VIRUS INFECTION WITH ENCEPHALITIS,West Nile virus infection with encephalitis,,1
50,51,B00.1,11,C,HERPESVIRAL VESICULAR DERMATITIS,HERPESVIRAL VESICULAR DERMATITIS,Herpesviral vesicular dermatitis,,1
51,52,B00.2,1,C,HSV GINGIVOSTOMATITIS TONSILLITIS,HERPESVIRAL GINGIVOSTOMATITIS PHARYNGOTONSILITIS,Herpesviral gingivostomatitis and pharyngotonsillitis,,1
52,53,B00.89,1,C,OTHER HERPESVIRAL INFECTION,OTHER HERPESVIRAL INFECTION,Other herpesviral infection,,1
53,54,B00.9,27,C,HERPESVIRAL INFECTION UNSPECIFIED,HERPESVIRAL INFECTION UNSPECIFIED,"Herpesviral infection, unspecified",,1
54,55,B02.21,1,C,POSTHERPETIC GENICULATE GANGLONITIS,POSTHERPETIC GENICULATE GANGLIONITIS,Postherpetic geniculate ganglionitis,,1
55,56,B02.22,12,C,POSTHERPETIC TRIGEMINAL NEURALGIA,POSTHERPETIC TRIGEMINAL NEURALGIA,Postherpetic trigeminal neuralgia,,1
56,57,B02.23,11,C,POSTHERPETIC POLYNEUROPATHY,POSTHERPETIC POLYNEUROPATHY,Postherpetic polyneuropathy,,1
57,58,B02.24,2,C,POSTHERPETIC MYELITIS,POSTHERPETIC MYELITIS,Postherpetic myelitis,,1
58,59,B02.29,44,C,OTH POSTHERPETC NERV SYS INVOLVEMNT,OTHER POSTHERPETIC NERVOUS SYSTEM INVOLVEMENT,Other postherpetic nervous system involvement,,1
59,60,B02.30,6,C,ZOSTER OCULAR DISEASE UNSPECIFIED,ZOSTER OCULAR DISEASE UNSPECIFIED,"Zoster ocular disease, unspecified",,1
60,61,B02.31,1,C,ZOSTER CONJUNCTIVITIS,ZOSTER CONJUNCTIVITIS,Zoster conjunctivitis,,1
61,62,B02.32,1,C,ZOSTER IRIDOCYCLITIS,ZOSTER IRIDOCYCLITIS,Zoster iridocyclitis,,1
62,63,B02.7,3,C,DISSEMINATED ZOSTER,DISSEMINATED ZOSTER,Disseminated zoster,,1
63,64,B02.8,13,C,ZOSTER WITH OTHER COMPLICATIONS,ZOSTER WITH OTHER COMPLICATIONS,Zoster with other complications,,1
64,65,B02.9,97,C,ZOSTER WITHOUT COMPLICATIONS,ZOSTER WITHOUT COMPLICATIONS,Zoster without complications,,1
65,66,B07.0,25,C,PLANTAR WART,PLANTAR WART,Plantar wart,,1
66,67,B07.8,15,C,OTHER VIRAL WARTS,OTHER VIRAL WARTS,Other viral warts,,1
67,68,B07.9,25,C,VIRAL WART UNSPECIFIED,VIRAL WART UNSPECIFIED,"Viral wart, unspecified",,1
68,69,B09,2,C,UNS VIRAL INF SKIN & MUCUS MEMB LES,UNS VIRAL INFECT SKIN MUCOUS & MEMBRANE LESIONS,Unspecified viral infection characterized by skin and mucous membrane lesions,,1
69,70,B15.9,2,C,HEPATITIS A WITHOUT HEPATIC COMA,HEPATITIS A WITHOUT HEPATIC COMA,Hepatitis A without hepatic coma,,1
70,71,B17.10,1,C,ACUTE HEPATITIS C W/O HEPATIC COMA,ACUTE HEPATITIS C WITHOUT HEPATIC COMA,Acute hepatitis C without hepatic coma,,1
71,72,B18.1,4,C,CHRONIC VIRAL HEP B W/O DELTA-AGENT,CHRONIC VIRAL HEPATITIS B WITHOUT DELTA-AGENT,Chronic viral hepatitis B without delta-agent,,1
72,73,B18.2,78,C,CHRONIC VIRAL HEPATITIS C,CHRONIC VIRAL HEPATITIS C,Chronic viral hepatitis C,,1
73,74,B19.10,6,C,UNS VIRAL HEPATITIS B W/O HEP COMA,UNS VIRAL HEPATITIS B WITHOUT HEPATIC COMA,Unspecified viral hepatitis B without hepatic coma,,1
74,75,B19.20,65,C,UNS VIRAL HEPATITIS C W/O HEP COMA,UNS VIRAL HEPATITIS C WITHOUT HEPATIC COMA,Unspecified viral hepatitis C without hepatic coma,,1
75,76,B19.21,1,C,UNS VIRAL HEPATITIS C W/HEP COMA,UNSPECIFIED VIRAL HEPATITIS C WITH HEPATIC COMA,Unspecified viral hepatitis C with hepatic coma,,1
76,77,B20,8,C,HIV DISEASE,HUMAN IMMUNODEFICIENCY VIRUS HIV DISEASE,Human immunodeficiency virus [HIV] disease,,1
77,78,B30.9,7,C,VIRAL CONJUNCTIVITIS UNSPECIFIED,VIRAL CONJUNCTIVITIS UNSPECIFIED,"Viral conjunctivitis, unspecified",,1
78,79,B34.8,1,C,OTHER VIRAL INFECTIONS OF UNS SITE,OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE,Other viral infections of unspecified site,,1
79,80,B34.9,38,C,VIRAL INFECTION UNSPECIFIED,VIRAL INFECTION UNSPECIFIED,"Viral infection, unspecified",,1
80,81,B35.0,4,C,TINEA BARBAE AND TINEA CAPITIS,TINEA BARBAE AND TINEA CAPITIS,Tinea barbae and tinea capitis,,1
81,82,B35.1,485,C,TINEA UNGUIUM,TINEA UNGUIUM,Tinea unguium,,1
82,83,B35.2,1,C,TINEA MANUUM,TINEA MANUUM,Tinea manuum,,1
83,84,B35.3,78,C,TINEA PEDIS,TINEA PEDIS,Tinea pedis,,1
84,85,B35.4,44,C,TINEA CORPORIS,TINEA CORPORIS,Tinea corporis,,1
85,86,B35.6,17,C,TINEA CRURIS,TINEA CRURIS,Tinea cruris,,1
86,87,B35.9,7,C,DERMATOPHYTOSIS UNSPECIFIED,DERMATOPHYTOSIS UNSPECIFIED,"Dermatophytosis, unspecified",,1
87,88,B36.0,4,C,PITYRIASIS VERSICOLOR,PITYRIASIS VERSICOLOR,Pityriasis versicolor,,1
88,89,B36.9,27,C,SUPERFICIAL MYCOSIS UNSPECIFIED,SUPERFICIAL MYCOSIS UNSPECIFIED,"Superficial mycosis, unspecified",,1
89,90,B37.0,42,C,CANDIDAL STOMATITIS,CANDIDAL STOMATITIS,Candidal stomatitis,,1
90,91,B37.2,103,C,CANDIDIASIS OF SKIN AND NAIL,CANDIDIASIS OF SKIN AND NAIL,Candidiasis of skin and nail,,1
91,92,B37.3,66,C,CANDIDIASIS OF VULVA AND VAGINA,CANDIDIASIS OF VULVA AND VAGINA,Candidiasis of vulva and vagina,,1
92,93,B37.42,5,C,CANDIDAL BALANITIS,CANDIDAL BALANITIS,Candidal balanitis,,1
93,94,B37.49,5,C,OTHER UROGENITAL CANDIDIASIS,OTHER UROGENITAL CANDIDIASIS,Other urogenital candidiasis,,1
94,95,B37.81,2,C,CANDIDAL ESOPHAGITIS,CANDIDAL ESOPHAGITIS,Candidal esophagitis,,1
95,96,B37.89,24,C,OTHER SITES OF CANDIDIASIS,OTHER SITES OF CANDIDIASIS,Other sites of candidiasis,,1
96,97,B37.9,46,C,CANDIDIASIS UNSPECIFIED,CANDIDIASIS UNSPECIFIED,"Candidiasis, unspecified",,1
97,98,B38.1,1,C,CHRONIC PULM COCCIDIOIDOMYCOSIS,CHRONIC PULMONARY COCCIDIOIDOMYCOSIS,Chronic pulmonary coccidioidomycosis,,1
98,99,B38.2,3,C,PULMONARY COCCIDIOIDOMYCOSIS UNS,PULMONARY COCCIDIOIDOMYCOSIS UNSPECIFIED,"Pulmonary coccidioidomycosis, unspecified",,1
99,100,B48.8,1,C,OTHER SPECIFIED MYCOSES,OTHER SPECIFIED MYCOSES,Other specified mycoses,,1
100,101,B49,9,C,UNSPECIFIED MYCOSIS,UNSPECIFIED MYCOSIS,Unspecified mycosis,,1
101,102,B57.1,1,C,ACUTE CHAGAS DZ W/O HEART INVOLVMNT,ACUTE CHAGAS DISEASE WITHOUT HEART INVOLVEMENT,Acute Chagas' disease without heart involvement,,1
102,103,B82.9,1,C,INTESTINAL PARASITISM UNSPECIFIED,INTESTINAL PARASITISM UNSPECIFIED,"Intestinal parasitism, unspecified",,1
103,104,B86,8,C,SCABIES,SCABIES,Scabies,,1
104,105,B88.2,2,C,OTHER ARTHROPOD INFESTATIONS,OTHER ARTHROPOD INFESTATIONS,Other arthropod infestations,,1
105,106,B88.8,7,C,OTHER SPECIFIED INFESTATIONS,OTHER SPECIFIED INFESTATIONS,Other specified infestations,,1
106,107,B88.9,1,C,INFESTATION UNSPECIFIED,INFESTATION UNSPECIFIED,"Infestation, unspecified",,1
107,108,B89,2,C,UNSPECIFIED PARASITIC DISEASE,UNSPECIFIED PARASITIC DISEASE,Unspecified parasitic disease,,1
108,109,B91,2,C,SEQUELAE OF POLIOMYELITIS,SEQUELAE OF POLIOMYELITIS,Sequelae of poliomyelitis,,1
109,110,B95.62,1,C,METHICILLIN RESIST INF DX ELSEWHERE,METHICILLIN RSIST STAPH INF CAUSE DZ CLASS ELSW,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere,,1
110,111,B96.1,1,C,K PNEUMONIAE CAUSE OF DZ CLASS ELSW,KLEBSIELLA PNEUMONIAE CAUSE DZ CLASSIFIED ELSW,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,,1
111,112,B96.20,1,C,UNS E COLI CAUSE DX CLASS ELSEWHERE,UNS E COLI E. COLI AS CAUSE DZ CLASS ELSEWHERE,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,,1
112,113,B96.7,1,C,C PERFRINGENS CAUSE DZ CLASS ELSW,CLOSTRIDIUM PERFRINGENS CAUSE DZ CLASSIFIED ELSW,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere,,1
113,114,B96.81,5,C,H PYLORI CAUSE OF DZ CLASS ELSW,HELICOBACTER PYLORI CAUSE OF DZ CLASSIFIED ELSW,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,,1
114,115,B96.89,19,C,OTH SPEC BACTERIAL DZ CLASS ELSW,OTH SPEC BACTERIAL AGNT CAUSE DZ CLASSIFIED ELSW,Other specified bacterial agents as the cause of diseases classified elsewhere,,1
115,116,B97.7,1,C,PAPILLOMAVIRUS CAUSE DZ CLASS ELSW,PAPILLOMAVIRUS CAUSE OF DZ CLASSIFIED ELSEWHERE,Papillomavirus as the cause of diseases classified elsewhere,,1
116,117,B97.89,60,C,OTH VIRAL AGENTS CAUS DZ CLASS ELSW,OTH VIRAL AGENT CAUSE DISEASES CLASSIFIED ELSW,Other viral agents as the cause of diseases classified elsewhere,,1
117,118,B99.9,2,C,UNSPECIFIED INFECTIOUS DISEASE,UNSPECIFIED INFECTIOUS DISEASE,Unspecified infectious disease,,1
118,119,C01,1,C,MALIGNANT NEOPLASM BASE OF TONGUE,MALIGNANT NEOPLASM OF BASE OF TONGUE,Malignant neoplasm of base of tongue,,1
119,120,C06.9,1,C,MALIG NEOPLASM OF MOUTH UNSPECIFIED,MALIGNANT NEOPLASM OF MOUTH UNSPECIFIED,"Malignant neoplasm of mouth, unspecified",,1
120,121,C08.9,1,C,MAL NEOPLASM MAJ SALIVARY GLAND UNS,MALIGNANT NEOPLASM OF MAJOR SALIVARY GLAND UNS,"Malignant neoplasm of major salivary gland, unspecified",,1
121,122,C14.0,5,C,MALIGNANT NEOPLASM PHARYNX UNSPEC,MALIGNANT NEOPLASM OF PHARYNX UNSPECIFIED,"Malignant neoplasm of pharynx, unspecified",,1
122,123,C15.5,2,C,MALIG NEOPLASM LOWER 3RD ESOPHAGUS,MALIGNANT NEOPLASM OF LOWER THIRD OF ESOPHAGUS,Malignant neoplasm of lower third of esophagus,,1
123,124,C15.9,10,C,MALIGNANT NEOPLASM OF ESOPHAGUS UNS,MALIGNANT NEOPLASM OF ESOPHAGUS UNSPECIFIED,"Malignant neoplasm of esophagus, unspecified",,1
124,125,C16.9,2,C,MAL NEOPLASM OF STOMACH UNSPECIFIED,MALIGNANT NEOPLASM OF STOMACH UNSPECIFIED,"Malignant neoplasm of stomach, unspecified",,1
125,126,C18.0,13,C,MALIGNANT NEOPLASM OF CECUM,MALIGNANT NEOPLASM OF CECUM,Malignant neoplasm of cecum,,1
126,127,C18.1,2,C,MALIGNANT NEOPLASM OF APPENDIX,MALIGNANT NEOPLASM OF APPENDIX,Malignant neoplasm of appendix,,1
127,128,C18.2,7,C,MALIGNANT NEOPLASM ASCENDING COLON,MALIGNANT NEOPLASM OF ASCENDING COLON,Malignant neoplasm of ascending colon,,1
128,129,C18.5,2,C,MALIGNANT NEOPLASM SPLENIC FLEXURE,MALIGNANT NEOPLASM OF SPLENIC FLEXURE,Malignant neoplasm of splenic flexure,,1
129,130,C18.6,1,C,MALIGNANT NEOPLASM DESCENDING COLON,MALIGNANT NEOPLASM OF DESCENDING COLON,Malignant neoplasm of descending colon,,1
130,131,C18.7,1,C,MALIGNANT NEOPLASM OF SIGMOID COLON,MALIGNANT NEOPLASM OF SIGMOID COLON,Malignant neoplasm of sigmoid colon,,1
131,132,C18.9,45,C,MALIGNANT NEOPLASM OF COLON UNS,MALIGNANT NEOPLASM OF COLON UNSPECIFIED,"Malignant neoplasm of colon, unspecified",,1
132,133,C19,3,C,MAL NEOPLASM RECTOSIGMOID JUNCT,MALIGNANT NEOPLASM OF RECTOSIGMOID JUNCTION,Malignant neoplasm of rectosigmoid junction,,1
133,134,C20,2,C,MALIGNANT NEOPLASM OF RECTUM,MALIGNANT NEOPLASM OF RECTUM,Malignant neoplasm of rectum,,1
134,135,C22.0,10,C,LIVER CELL CARCINOMA,LIVER CELL CARCINOMA,Liver cell carcinoma,,1
135,136,C22.1,1,C,INTRAHEPATIC BILE DUCT CARCINOMA,INTRAHEPATIC BILE DUCT CARCINOMA,Intrahepatic bile duct carcinoma,,1
136,137,C22.8,1,C,MAL NEOPLSM LIVER PRIMARY UNS TYPE,MALIGNANT NEOPLASM LIVER PRIMARY UNS AS TO TYPE,"Malignant neoplasm of liver, primary, unspecified as to type",,1
137,138,C22.9,6,C,MAL NEOPLSM LIVER NOT SPEC PRIM/SEC,MALIGNANT NEOPLASM LIVER NOT SPEC PRIMARY/SECOND,"Malignant neoplasm of liver, not specified as primary or secondary",,1
138,139,C23,2,C,MALIGNANT NEOPLASM OF GALLBLADDER,MALIGNANT NEOPLASM OF GALLBLADDER,Malignant neoplasm of gallbladder,,1
139,140,C24.0,1,C,MAL NEOPLASM EXTRAHEPATIC BILE DUCT,MALIGNANT NEOPLASM OF EXTRAHEPATIC BILE DUCT,Malignant neoplasm of extrahepatic bile duct,,1
140,141,C24.9,1,C,MALIG NEOPLASM OF BILIARY TRACT UNS,MALIGNANT NEOPLASM OF BILIARY TRACT UNSPECIFIED,"Malignant neoplasm of biliary tract, unspecified",,1
141,142,C25.9,5,C,MALIGNANT NEOPLASM OF PANCREAS UNS,MALIGNANT NEOPLASM OF PANCREAS UNSPECIFIED,"Malignant neoplasm of pancreas, unspecified",,1
142,143,C32.0,1,C,MALIGNANT NEOPLASM OF GLOTTIS,MALIGNANT NEOPLASM OF GLOTTIS,Malignant neoplasm of glottis,,1
143,144,C32.9,8,C,MALIGNANT NEOPLASM LARYNX UNS,MALIGNANT NEOPLASM OF LARYNX UNSPECIFIED,"Malignant neoplasm of larynx, unspecified",,1
144,145,C34.00,1,C,MALIGNANT NEOPLSM UNS MAIN BRONCHUS,MALIGNANT NEOPLASM OF UNSPECIFIED MAIN BRONCHUS,Malignant neoplasm of unspecified main bronchus,,1
145,146,C34.11,2,C,MAL NEOPLASM UP LOBE RT BRONCH/LUNG,MALIGNANT NEOPLASM UPPER LOBE RT BRONCHUS/LUNG,"Malignant neoplasm of upper lobe, right bronchus or lung",,1
146,147,C34.2,2,C,MAL NEOPLASM MID LOBE RT BRON/LUNG,MALIGNANT NEOPLASM OF MIDDLE LOBE BRONCHUS/LUNG,"Malignant neoplasm of middle lobe, bronchus or lung",,1
147,148,C34.32,3,C,MAL NEOPLASM LW LOBE LT BRONCH/LUNG,MALIGNANT NEOPLASM LOWER LOBE LT BRONCHUS/LUNG,"Malignant neoplasm of lower lobe, left bronchus or lung",,1
148,149,C34.80,4,C,MAL NEO OVRLAP SITE UNS BRONCH LUNG,MALIGNANT NEOPLASM OVRLAP SITE UNS BRONCH & LUNG,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,,1
149,150,C34.81,2,C,MAL NEO OVERLAP SITE RT BRONCH LUNG,MALIGNANT NEOPLASM OVERLAP SITE RT BRONCH & LUNG,Malignant neoplasm of overlapping sites of right bronchus and lung,,1
150,151,C34.82,5,C,MAL NEO OVERLAP SITE LT BRONCH LUNG,MALIGNANT NEOPLASM OVERLAP SITE LT BRONCH & LUNG,Malignant neoplasm of overlapping sites of left bronchus and lung,,1
151,152,C34.90,54,C,MALIG NEO UNS PART UNS BRONCH/LUNG,MALIGNANT NEOPLASM UNS PART UNS BRONCHUS/LUNG,Malignant neoplasm of unspecified part of unspecified bronchus or lung,,1
152,153,C34.91,24,C,MALIG NEO UNS PART RT BRONCHU/LUNG,MALIGNANT NEOPLASM UNS PART RIGHT BRONCHUS/LUNG,Malignant neoplasm of unspecified part of right bronchus or lung,,1
153,154,C34.92,4,C,MALIG NEO UNS PART LT BRONCH/LUNG,MALIGNANT NEOPLASM UNS PART LEFT BRONCHUS/LUNG,Malignant neoplasm of unspecified part of left bronchus or lung,,1
154,155,C37,11,C,MALIGNANT NEOPLASM OF THYMUS,MALIGNANT NEOPLASM OF THYMUS,Malignant neoplasm of thymus,,1
155,156,C40.21,1,C,MAL NEOPLASM LONG BONES RT LOW LIMB,MALIGNANT NEOPLASM LONG BONES RIGHT LOWER LIMB,Malignant neoplasm of long bones of right lower limb,,1
156,157,C41.9,2,C,MALIGNANT NEOPLSM BONE & AC UNS,MALIGNANT NEOPLASM BONE ARTICULAR CARTILAGE UNS,"Malignant neoplasm of bone and articular cartilage, unspecified",,1
157,158,C43.31,2,C,MALIGNANT MELANOMA OF NOSE,MALIGNANT MELANOMA OF NOSE,Malignant melanoma of nose,,1
158,159,C43.4,8,C,MALIGNANT MELANOMA SCALP AND NECK,MALIGNANT MELANOMA OF SCALP AND NECK,Malignant melanoma of scalp and neck,,1
159,160,C43.9,6,C,MALIGNANT MELANOMA OF SKIN UNSPEC,MALIGNANT MELANOMA OF SKIN UNSPECIFIED,"Malignant melanoma of skin, unspecified",,1
160,161,C44.101,1,C,UNS MAL NEO SKN UNS EYELD W/CANTHUS,UNS MALIG NEOPLASM SKIN UNS EYELID INCL CANTHUS,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",,1
161,162,C44.202,1,C,UNS MAL NEO SKN RT EAR EXT AUR CANL,UNS MALIG NEOPLSM SKN RT EAR EXT AURICULAR CANAL,Unspecified malignant neoplasm of skin of right ear and external auricular canal,,1
162,163,C44.212,2,C,BASAL C CA SKIN RT EAR EXT AUR CANL,BASAL CELL CA SKIN RT EAR EXT AURICULAR CANAL,Basal cell carcinoma of skin of right ear and external auricular canal,,1
163,164,C44.309,1,C,UNS MALIG NEOPLSM SKIN OTH PART FCE,UNS MALIGNANT NEOPLASM SKIN OTHER PARTS FACE,Unspecified malignant neoplasm of skin of other parts of face,,1
164,165,C44.310,7,C,BASAL CELL CA SKIN UNS PARTS FACE,BASAL CELL CARCINOMA SKIN UNSPECIFIED PARTS FACE,Basal cell carcinoma of skin of unspecified parts of face,,1
165,166,C44.311,7,C,BASAL CELL CARCINOMA SKIN OF NOSE,BASAL CELL CARCINOMA OF SKIN OF NOSE,Basal cell carcinoma of skin of nose,,1
166,167,C44.319,3,C,BASAL CELL CA SKIN OTHER PARTS FACE,BASAL CELL CARCINOMA SKIN OF OTHER PARTS OF FACE,Basal cell carcinoma of skin of other parts of face,,1
167,168,C44.320,1,C,SQUAMOUS CELL CA SKIN UNS PARTS FCE,SQUAMOUS CELL CARCINOMA SKIN UNS PARTS FACE,Squamous cell carcinoma of skin of unspecified parts of face,,1
168,169,C44.329,1,C,SQUAMOUS CELL CA SKIN OTH PARTS FCE,SQUAMOUS CELL CARCINOMA SKIN OTHER PARTS OF FACE,Squamous cell carcinoma of skin of other parts of face,,1
169,170,C44.519,3,C,BASAL CELL CA SKIN OTH PART TRUNK,BASAL CELL CARCINOMA SKIN OF OTHER PART OF TRUNK,Basal cell carcinoma of skin of other part of trunk,,1
170,171,C44.621,1,C,SQ C CA SKIN UNS UP LIMB INCL SHLDR,SQUAMOUS CELL CA SKIN UNS UPPER LIMB INCL SHLDR,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",,1
171,172,C44.701,1,C,UNS MAL NEO SKIN UNS LW LIMB W/HIP,UNS MALIG NEOPLASM SKIN UNS LOWER LIMB INCL HIP,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",,1
172,173,C44.709,1,C,UNS MAL NEO SKIN LEFT LW LIMB W/HIP,UNS MALIG NEOPLASM SKIN LT LOWER LIMB INCL HIP,"Unspecified malignant neoplasm of skin of left lower limb, including hip",,1
173,174,C44.711,1,C,BASAL C CA SKN UNS LOW LIMB W/ HIP,BASAL CELL CA SKIN UNS LOWER LIMB INCLUDING HIP,"Basal cell carcinoma of skin of unspecified lower limb, including hip",,1
174,175,C44.712,1,C,BASAL C CA SKN RT LOW LIMB INCL HIP,BASAL CELL CA SKIN RT LOWER LIMB INCLUDING HIP,"Basal cell carcinoma of skin of right lower limb, including hip",,1
175,176,C44.90,22,C,UNS MALIGNANT NEOPLASM SKIN UNS,UNSPECIFIED MALIGNANT NEOPLASM SKIN UNSPECIFIED,"Unspecified malignant neoplasm of skin, unspecified",,1
176,177,C44.91,10,C,BASAL CELL CARCINOMA SKIN UNS,"BASAL CELL CARCINOMA OF SKIN, UNSPECIFIED","Basal cell carcinoma of skin, unspecified",,1
